Essai;400;600;800;1000;1200;1400
Essai0;0,3676164;0,3837905;0,8642056;0,9117391;1,0879127;1,0879392
Essai1;0,3032604;0,3522606;0,8640058;0,73806;1,3922478;1,2636122
Essai2;0,2884725;0,39953;0,6882172;0,8479887;1,1209892;1,4554404
Essai3;0,2720204;0,6078813;1,0076216;1,0404014;1,424475;1,2484032
Essai4;0,2555617;0,8320009;0,9915325;0,784655;1,3758401;1,4242379
Essai5;0,3040837;1,0874412;1,1039515;0,8964153;1,1202678;1,0417915
Essai6;0,4958367;0,6394496;0,8634734;0,9440179;0,9439511;0,7837656
Essai7;0,5766311;0,6886624;0,6393067;1,1356111;0,8798951;1,0079557
Essai8;0,3200618;0,7035731;0,5435372;0,7041889;0,7843092;1,0240157
Essai9;0,2886298;0,6558981;0,7364337;0,8320118;1,0400083;1,1353729
moy;0,34721745;0,63504877;0,83022852;0,88350892;1,11698963;1,14725343
ET;0,10030127;0,212315838;0,168350781;0,126409022;0,209987769;0,194156274
CV;0,288871628;0,334329972;0,202776437;0,143076113;0,187994377;0,169235732
;0,22;;;;;
diff;0,05;-0,04;-0,03;0,12;0,08;0,25
;0,07;;;;;
