Essai,Cond_0 -7/-45,Cond_1 -4/-40,Cond_2 -2/-35,Cond_3 -1/-30,Cond_4 0/-25,Cond_5 1/-20,Cond_6 2/-15,Cond_7 4/-10,Cond_8 7/-5,Cond_9 -7/0,Cond_10 -4/5,Cond_11 -2/10,Cond_12 -1/15,Cond_13 0/20,Cond_14 1/25,Cond_15 2/30,Cond_16 4/35,Cond_17 7/40
Essai1,0.5684482000069693,0.36512969998875633,0.22786520002409816,0.3997644000337459,0.7243188000284135,0.4415058000013232,0.41291769995586947,0.2073736999882385,0.3202167000272311,0.24402720003854483,0.6142060999991372,0.3870737999677658,0.773388999979943,0.3808741000248119,0.4245803999947384,0.2469841000274755,0.29091659997357056,0.3185173000092618
Essai2,0.27679220004938543,0.6287261000252329,0.4522902999888174,0.20055850001517683,0.45563410001341254,1.0598400000017136,0.5914132000179961,0.2002898000064306,0.11305310000898317,0.32866980001563206,0.35842060000868514,0.6035027000471018,0.5352564000058919,0.1652273999643512,0.5255922999931499,0.10670720000052825,0.5674198999768123,0.42138459999114275
Essai3,0.33145940001122653,0.28361019998556003,0.2525603999965824,0.33313990000169724,0.2593691000365652,0.4995601999689825,0.26525980001315475,0.16868619999149814,0.19750160002149642,0.2767392999958247,0.3276250999770127,0.19789619999937713,0.415753000008408,0.5505165999638848,0.20453549997182563,0.3522839000215754,0.3489019999979064,0.14715570001862943
Essai4,0.057620299980044365,0.5026141999987885,0.4392323999782093,0.3893934999941848,0.22775890002958477,0.2997767999768257,0.3159790999488905,0.3091471999650821,0.21851699997205287,0.4554076999775134,0.516568900027778,0.7177737000165507,0.21667410002555698,0.0800475999712944,0.47883370000636205,0.08737840002868325,0.12560470000607893,0.23473189998185262
Essai5,0.3362949999864213,0.1907072000321932,0.22615140001289546,0.2631102000013925,0.14036409999243915,0.6426516000065021,0.2773297000094317,0.21333370002685115,0.09574949997477233,0.23669769999105483,0.24645350000355393,0.23752830002922565,0.15297709999140352,0.0855837999843061,0.20968050003284588,0.21151739999186248,0.20999730000039563,0.1951520000002347
Essai6,0.1804695999599062,0.2824016999802552,0.26329599996097386,0.4504608000279404,0.07521489995997399,0.2250188000034541,0.13142510002944618,0.15929189999587834,0.42131840001093224,0.22083639999618754,0.10556160000851378,0.2908729999908246,0.11662660003639758,0.3674475000007078,0.373832700017374,0.17918370000552386,0.26390389999141917,0.3228767000255175
Essai7,0.17337999999290332,0.18261710001388565,0.29808340000454336,0.20881680003367364,0.23015590000431985,0.2664630000363104,0.18073809996712953,0.23567139997612685,0.15249259996926412,0.3239946999819949,0.23969489999581128,0.11213190003763884,0.2684022000175901,0.29932109999936074,0.10150340001564473,0.17935629998100922,0.2007160999928601,0.23944439995102584
Essai8,0.13090390001889318,0.35489420004887506,0.16905580001184717,0.22526619996642694,0.34664259996498004,0.36663010000484064,0.2217782000079751,0.20634969999082386,0.11129110003821552,0.3616859999601729,0.3309277000371367,0.2698460000101477,0.3673079999862239,0.16512670001247898,0.2826948000001721,0.19295830000191927,0.1003393999999389,0.2747939999680966
Essai9,0.10692829999607056,0.3831941999960691,0.19434710004134104,0.2156607999932021,0.6671430999995209,0.347939100000076,0.3072048000176437,0.2815818000235595,0.34524639998562634,0.2152123000123538,0.45292429998517036,0.2229401000076905,0.13180140004260466,0.2112467999686487,0.34102419996634126,0.18925120000494644,0.1847694999887608,0.22011860000202432
Essai10,0.2674360999953933,0.46640859998296946,0.35486479999963194,0.4907344000530429,0.6010133999516256,0.11577869998291135,0.22745239996584132,0.18267629999900237,0.1429541000397876,0.22106850001728162,0.18680189998121932,0.21623590000672266,0.610461900010705,0.1870926000410691,0.1360550999525003,0.07848830003058538,0.06841579999309033,0.30487140000332147
