Essai;Haut 0.2;Haut 0.5;Haut 0.8;Bas 0.2;Bas 0.5;Bas 0.8;Gauche 0.2;Gauche 0.5;Gauche 0.8;Droite 0.2;Droite 0.5;Droite 0.8
essai0;0.43330320017412305;0.33944479981437325;0.37262829998508096;0.4458722001872957;0.35355730005539954;0.3103920000139624;0.3660893999040127;0.2764849001541734;0.32709529995918274;0.4311923000495881;0.36853859992697835;0.311229599872604
essai1;0.3204866999294609;0.3079317999072373;0.34137649997137487;0.3673606999218464;0.3235440000426024;0.3104286000598222;0.37036440009251237;0.3091652998700738;0.31196530000306666;0.3833015998825431;0.27444710000418127;0.3750355998054147
essai2;0.38313700002618134;0.33878799993544817;0.3108707999344915;0.3674824999179691;0.35672849998809397;0.2772895998787135;0.34979699994437397;0.3258182001300156;0.2816864000633359;0.4953246000222862;0.3551815999671817;0.29476019996218383
essai3;0.3350360000040382;0.33995290007442236;0.2957006001379341;0.3997844997793436;0.32256120000965893;0.2790333000011742;0.3853900998365134;0.3080897000618279;0.2949693000409752;0.3823803002014756;0.3571816999465227;0.3101700998377055
essai4;0.46247370005585253;0.30747150001116097;0.29388479981571436;0.31974259996786714;0.338681299937889;0.3114591999910772;0.3531553999055177;0.3101218000520021;0.34417009982280433;0.3965736001264304;0.30694660008884966;0.3100612999405712
essai5;0.3355888999067247;0.33892710017971694;0.32818219996988773;0.3682514000684023;0.3391760000959039;0.3109583000186831;0.36984500009566545;0.31054190010763705;0.29704850004054606;0.3362787999212742;0.28993199998512864;0.32628179993480444
essai6;0.35207380005158484;0.3553340001963079;0.35938150016590953;0.4002389998640865;0.29218370001763105;0.29453009995631874;0.3546935999765992;0.31007030000910163;0.28142879996448755;0.36767830001190305;0.3404254000633955;0.3104871001560241
essai7;0.33596709999255836;0.33905320009216666;0.2948066000826657;0.33587339986115694;0.2911211000755429;0.32702590012922883;0.338569900020957;0.32568159978836775;0.28038919996470213;0.35079380008392036;0.35564359999261796;0.29377170000225306
essai8;0.3832066999748349;0.3080686000175774;0.30986279994249344;0.3685830000322312;0.30785130010917783;0.2794168998952955;0.33839579997584224;0.3093296999577433;0.29610939999110997;0.3518697000108659;0.3708930998109281;0.2955210998188704
essai9;0.3516476999502629;0.32340669981203973;0.3274626999627799;0.3524912998545915;0.2894238999579102;0.30976830003783107;0.32179429987445474;0.31077080010436475;0.2804725000169128;0.32043379987590015;0.40391680016182363;0.2871372001245618
