Essai,Cond_0 -7/-45,Cond_1 -4/-40,Cond_2 -2/-35,Cond_3 -1/-30,Cond_4 0/-25,Cond_5 1/-20,Cond_6 2/-15,Cond_7 4/-10,Cond_8 7/-5,Cond_9 -7/0,Cond_10 -4/5,Cond_11 -2/10,Cond_12 -1/15,Cond_13 0/20,Cond_14 1/25,Cond_15 2/30,Cond_16 4/35,Cond_17 7/40
Essai1,0.34284169995225966,0.5687939999625087,0.4878810999216512,0.40645720006432384,0.6782083000289276,0.5200579999946058,0.5055584000656381,0.5370336999185383,0.3149094000691548,0.29752799996640533,0.552687400020659,0.45744730008300394,0.6017641000216827,1.0991691999370232,0.8083009000401944,0.9489347999915481,0.5363212999654934,0.5536313001066446
Essai2,0.2505894999485463,0.6150273999664932,0.4400526999961585,0.8577584000304341,0.8594260000390932,0.4258586000651121,0.5351254000561312,0.2672811000375077,0.3459925999632105,0.2806907999329269,0.5198084999574348,0.31037259998265654,0.5833946999628097,0.9068282999796793,0.39261620002798736,0.3935899999924004,0.3306647000135854,0.3447780000278726
Essai3,0.33024160005152225,0.2651596999494359,0.7138969999505207,0.5208183999639004,0.4735375000163913,0.5359815000556409,0.40967140009161085,0.23341400001663715,0.3134899000870064,0.4887566000688821,0.2826583000132814,0.26616009999997914,0.5385521999560297,0.34598759992513806,0.5375103999394923,1.176301799947396,0.2646752999862656,0.19962780002970248
Essai4,0.32829360000323504,0.40965559997130185,0.32489500008523464,0.6974851000122726,0.48727929999586195,0.3459586000535637,0.504216399975121,0.2822627999121323,0.18619829998351634,0.42693199997302145,0.36078929994255304,0.3758618999272585,0.39192790002562106,0.3787684999406338,0.6494438000954688,0.5689149999525398,0.3309422000311315,0.2969764999579638
Essai5,0.4267111000372097,0.5395464000757784,0.33036820008419454,0.5538068999303505,0.3628331000218168,0.6031844000099227,0.49957829993218184,0.2958832000149414,0.2829630000051111,0.26582249999046326,0.35710080002900213,6.873345599975437,0.2826762000331655,0.37817729997914284,0.43970580003224313,0.6220802000025287,0.5660802000202239,0.4889962999150157
Essai6,0.6335609999950975,0.40948729997035116,0.5178670999594033,0.329279400059022,1.21046590001788,0.3777600000612438,0.4071647000964731,0.327655200031586,0.23247199994511902,0.21855899994261563,0.24843000003602356,0.3943762000417337,0.2655078999232501,0.5221052999841049,0.5371235000202432,0.3922392000677064,0.3461964000016451,0.28302490001078695
Essai7,0.24926649988628924,0.34432250005193055,0.42579489992931485,0.4911129999672994,0.6155536000151187,0.34486830001696944,0.41018690005876124,0.28197010001167655,0.2486628000624478,0.31279200001154095,0.2333450000733137,0.5832175000105053,0.3134018999990076,0.6967335999943316,0.6000172999920323,0.45489850000012666,0.23324990004766732,0.31441009999252856
Essai8,0.2667887000134215,0.3124726000241935,0.3629266999196261,0.9385754999238998,0.6780791999772191,0.4418294000206515,0.299000300001353,0.2662494999822229,0.3281957000726834,0.36299729999154806,0.36116800003219396,0.36225879995618016,0.37663629988674074,0.4273438999662176,0.32712760008871555,0.9085950000444427,0.5215729000046849,0.31389969994779676
Essai9,0.280259000021033,0.2958633000962436,0.7453767999541014,0.6492297000950202,0.538867500028573,0.3775552000151947,0.44218760007061064,0.34418469993397593,0.18346420000307262,0.20098850002977997,0.29664820001926273,0.29729080002289265,0.3587066000327468,0.5075857999036089,0.4418710999889299,0.4083452000049874,0.4429711999837309,0.24781490000896156
Essai10,0.28325829992536455,0.36377230007201433,0.3793454999104142,0.5691467999713495,0.8094760000240058,0.4094473000150174,0.29838970000855625,0.39471580006647855,0.2805332000134513,0.26505779998842627,0.25148850004188716,0.31512219994328916,0.6974401000188664,0.48903399996925145,0.6321849999949336,0.3635255000554025,0.5864996999735013,0.503857099916786
Essai11,0.3132591999601573,0.28237580007407814,0.2640619999729097,0.730940300039947,0.45609639992471784,0.3781811000080779,0.457623100024648,0.42569959990214556,0.3454223000444472,0.2812172999838367,0.39522019994910806,0.34533319994807243,0.3626727999653667,0.9543348000152037,0.3612047000788152,0.31195510004181415,0.29686470003798604,0.3940014000982046
Essai12,0.3770880999509245,0.633066099951975,0.4258604000788182,0.5069443000247702,0.5545044000027701,0.5054671999532729,0.3615969999227673,0.45433709991630167,0.17173539998475462,0.31196069996804,0.2980007999576628,0.4733486999757588,0.5378313000546768,0.4895601000171155,0.5862702999729663,0.5376086999895051,0.36200349999126047,0.2674889999907464
Essai13,0.32938170002307743,0.2626252000918612,0.44253870006650686,0.42489619995467365,0.7587993000634015,0.5213761999038979,0.3308901999844238,0.31492190004792064,0.16964839992579073,0.3249121999833733,0.21830170007888228,0.21910520002711564,0.4093661999795586,0.2649099000263959,0.4735085000284016,0.3589813000289723,0.21844339999370277,0.2980235000140965
