Essai,Cond_0 -7/-45,Cond_1 -4/-40,Cond_2 -2/-35,Cond_3 -1/-30,Cond_4 0/-25,Cond_5 1/-20,Cond_6 2/-15,Cond_7 4/-10,Cond_8 7/-5,Cond_9 -7/0,Cond_10 -4/5,Cond_11 -2/10,Cond_12 -1/15,Cond_13 0/20,Cond_14 1/25,Cond_15 2/30,Cond_16 4/35,Cond_17 7/40
Essai1,0.35997199988923967,0.40686130011454225,0.16751970001496375,0.28266579983755946,0.24860119982622564,0.1688368998002261,0.0716329999268055,0.408028099918738,0.4577285998966545,0.1378283000085503,0.14728070003911853,0.1828183000907302,0.00815599993802607,0.07095560012385249,0.12152469996362925,0.5066023000981659,0.06998390005901456,0.05673039983958006
Essai2,0.4245331999845803,0.3107349998317659,0.15105829993262887,0.4086594998370856,0.13530870014801621,0.09183950000442564,0.24789440003223717,0.18599059991538525,0.11904650018550456,0.1220228997990489,0.121866500005126,0.15153639996424317,0.10118950018659234,0.2162096002139151,0.2322033999953419,0.20037040021270514,0.21912519983015954,0.10390790016390383
Essai3,0.5659652000758797,0.32730120001360774,0.32907420000992715,0.2012867999728769,0.10441589984111488,0.18452199990861118,0.07322230003774166,0.13445160002447665,0.7116272000130266,0.21714019984938204,0.11870910017751157,0.14523579995147884,0.1510739999357611,0.3292578998953104,0.2636657999828458,0.2977738999761641,0.26475280011072755,0.18187199998646975
Essai4,0.13828780013136566,0.8566509000957012,0.0678203001152724,0.34635449992492795,0.3600112001877278,0.20115959993563592,0.23153859982267022,0.09058140008710325,0.24982169992290437,0.12123299995437264,0.344582200050354,0.1540249998215586,0.4711507000029087,0.20237970002926886,0.06898049986921251,0.23123589996248484,0.3284750001039356,0.2926978999748826
Essai5,0.4081933000124991,0.3614221999887377,0.4883810000028461,0.45756520004943013,0.3452123000752181,0.5989975999109447,0.4577176000457257,0.056546200066804886,0.16823169984854758,0.10544610000215471,0.39309149980545044,0.21828779997304082,0.39190710010007024,0.3586544001009315,0.24820009991526604,0.4741065998096019,0.43987749982625246,0.6003123999107629
Essai6,0.375758099835366,0.29895709990523756,0.23333830013871193,0.15343670011498034,0.3145018999930471,0.2176192000042647,0.26334579987451434,0.3306222998071462,0.42444169986993074,0.3943837000988424,0.3586674998514354,0.23093830002471805,0.5670042000710964,0.34455309994518757,0.28120499989017844,0.10489269997924566,0.5846078000031412,0.34454880002886057
Essai7,0.571033600019291,0.5379541001748294,0.44120480003766716,0.4081419000867754,0.2490429999306798,0.40981299988925457,0.40810139989480376,0.21594109991565347,0.487389599904418,0.2162037999369204,0.28300840011797845,0.2820627000182867,0.31410209997557104,0.20047769998200238,0.31213740003295243,0.1996389999985695,0.18498199991881847,0.20028079999610782
Essai8,0.3118678000755608,0.3907552999444306,0.24801370012573898,0.5040418999269605,0.6119017000310123,0.2157494998537004,0.37478609988465905,0.554209099849686,0.32845829986035824,0.5200865999795496,0.29831369989551604,0.10535209998488426,0.23192749987356365,0.3621704999823123,0.2967091999016702,0.42309090006165206,0.5500407998915762,0.343687399988994
Essai9,0.18364579998888075,0.30919030006043613,0.47130710002966225,0.279787499923259,0.4074778000358492,0.16731959977187216,0.23141360003501177,0.32720629987306893,0.26216250006109476,0.20159479998983443,0.44078669999726117,0.4251780000049621,0.2637904000002891,0.2149855000898242,0.537887399783358,0.19993510004132986,0.2961954998318106,0.312859799945727
Essai10,0.31346590002067387,0.23149409983307123,0.5063571000937372,0.42428250005468726,0.23151159984990954,0.39197749993763864,0.6173223000951111,0.3274037998635322,0.4080622000619769,0.15225249994546175,0.26490229996852577,0.34319939999841154,0.31294500012882054,0.2931375000625849,0.1994090999942273,0.6940316001418978,0.3732920999173075,0.21681350003927946
Essai11,0.15287430002354085,0.5190957000013441,0.3266221999656409,0.6477313998620957,0.37769940006546676,0.35923990001901984,0.47286319988779724,0.3452647998929024,0.13804750004783273,0.519023000029847,0.10166630009189248,0.1944433997850865,0.1694964999333024,0.37690590019337833,0.4099826000165194,0.3113700000103563,0.30986319994553924,0.3468408999033272
Essai12,0.1375313000753522,0.2318263000342995,0.34401199989952147,0.2983617000281811,0.5687357001006603,0.2665444000158459,0.1838509999215603,0.15308309998363256,0.1378836000803858,0.31149189989082515,0.35923910001292825,0.48973140004090965,0.15046510007232428,0.11983929993584752,0.3925445000641048,0.3062925999984145,0.281963599845767,0.5369795998558402
Essai13,0.43939849990420043,0.8255506998393685,0.2960353000089526,0.49025469995103776,0.3274535001255572,0.24805780011229217,0.6477353000082076,0.6818200999405235,0.457759200129658,0.18161959992721677,0.6158859001006931,0.2175010999199003,0.31077679991722107,0.3919030998367816,0.505200200015679,0.3423693999648094,0.27875289996154606,0.13625790015794337
