Essai,Haut 0.2,Haut 0.5,Haut 0.8,Bas 0.2,Bas 0.5,Bas 0.8,Gauche 0.2,Gauche 0.5,Gauche 0.8,Droite 0.2,Droite 0.5,Droite 0.8
Essai0,0.40542990004178137,0.33972889999859035,0.3419145999941975,0.3664493000251241,0.38409450004110113,0.3102538000093773,0.3824978999909945,0.34159889997681603,0.31045709998579696,0.397453699959442,0.38616369996452704,0.40035780001198873
Essai1,0.4627567999996245,0.36811799998395145,0.29114990000380203,0.33557509997626767,0.3213060999987647,0.29327029996784404,0.33772740000858903,0.3248054999858141,0.3756438000127673,0.34911729994928464,0.38387770002009347,0.3827287000021897
Essai2,0.3332516000373289,0.2901121000177227,0.35864089999813586,0.39419049996649846,0.3389315999811515,0.3417444999795407,0.35314759996253997,0.3720692999777384,0.2950961999595165,0.41494330001296476,0.38768400001572445,0.3100217000464909
Essai3,0.36579800001345575,0.35523249994730577,0.34155750001082197,0.41486350004561245,0.3379763000411913,0.37179679999826476,0.415864699985832,0.3267846999806352,0.34447870001895353,0.5115593000082299,0.4185606999672018,0.3676545000053011
Essai4,0.41408019996015355,0.38726950000273064,0.2935313999769278,0.4299096000031568,0.35589740000432357,0.3585343000013381,0.38373060000594705,0.3904760999721475,0.3897472000098787,0.41349059995263815,0.3987199999974109,0.3399875999893993
Essai5,0.4314838999998756,0.3381946999579668,0.38953320001019165,0.3669671000097878,1.6963781000231393,0.29303190001519397,0.4002157000359148,0.38885089999530464,0.327923099976033,0.35078919999068603,0.3520703999674879,0.40662690001772717
Essai6,0.3814420999842696,0.49862760002724826,0.34010159998433664,0.4158183999825269,0.4036678000120446,0.3257996999891475,0.3347613000078127,0.40372990001924336,0.34536440001102164,0.3988299999618903,0.38552919996436685,0.43812220002291724
Essai7,0.3985497000394389,0.3379946000059135,0.37188519997289404,0.3813180000288412,0.323678300017491,0.3736250000074506,0.38481110002612695,0.32374819996766746,0.47146109997993335,0.3660700000473298,0.3571457999642007,0.341653999988921
Essai8,0.382295899966266,0.3220333000062965,0.45044400001643226,0.3828769999672659,0.32151819998398423,0.35599750000983477,0.5117593000177294,0.32595630001742393,0.32937450002646074,0.3509570999885909,0.3667633999721147,0.3242663000128232
Essai9,0.39987520000431687,0.35346420004498214,0.292862200003583,0.3632803999935277,0.3702659999835305,0.3732086999807507,0.4156156000099145,0.3577944000135176,0.34367470000870526,0.47902159998193383,0.3555623000138439,0.4879465000121854
