Essai,-35/-7,-35/-4,-35/-2,-35/-1,-35/1,-35/2,-35/4,-35/7,-25/-7,-25/-4,-25/-2,-25/-1,-25/1,-25/2,-25/4,-25/7,-15/-7,-15/-4,-15/-2,-15/-1,-15/1,-15/2,-15/4,-15/7,-5/-7,-5/-4,-5/-2,-5/-1,-5/1,-5/2,-5/4,-5/7,5/-7,5/-4,5/-2,5/-1,5/1,5/2,5/4,5/7,15/-7,15/-4,15/-2,15/-1,15/1,15/2,15/4,15/7,25/-7,25/-4,25/-2,25/-1,25/1,25/2,25/4,25/7,35/-7,35/-4,35/-2,35/-1,35/1,35/2,35/4,35/7
Essai1,0.2645655000815168,0.5358688998967409,0.24895149993244559,0.9662839999655262,1.1423137000529096,0.2336600999115035,0.07382930000312626,0.10330169997178018,0.22580360004212707,1.0802172000985593,0.3441524999216199,0.3773570000194013,0.47222140000667423,0.31207039998844266,0.2663055000593886,0.21449579996988177,0.18452879996038973,0.8234395999461412,0.26123269996605814,1.0442574999760836,0.8890477999811992,0.29586730001028627,0.264784500002861,0.31320830003824085,0.1345927999354899,0.2804211999755353,0.3396423999220133,0.28097590000834316,0.2972875999985263,0.272381899994798,0.13764099997933954,0.24992410000413656,0.4244783000322059,0.26265160006005317,0.405791400000453,0.2256327000213787,0.6823515000287443,1.0330829999875277,0.2814936999930069,0.25091990001965314,0.567896299995482,0.2481861999258399,0.6338490999769419,0.24934490001760423,0.3133828000864014,0.408597799949348,0.31203030003234744,0.4058647999772802,0.5839167999802157,0.5673511000350118,0.31279669993091375,1.368304600007832,0.37690279993694276,0.6286425000289455,0.4241913999430835,0.20047720009461045,0.13863909989595413,0.3133873000042513,0.5647786000045016,1.2875338000012562,0.49928210000507534,1.3772949000122026,0.4825668000848964,0.297239699983038
Essai2,0.3419916999991983,0.16822849994059652,0.2824450999032706,0.5200380000751466,0.33155330002773553,0.37426589999813586,0.19655260001309216,0.24489760003052652,0.36663160007447004,0.28949969995301217,0.694256899994798,0.22541069996077567,0.8719482999294996,0.24848690000362694,0.24143269995693117,0.29578819999005646,0.24574329995084554,0.310882999910973,0.5338619999820367,0.5569256999297068,1.2781323998933658,0.2950963999610394,0.32478530006483197,0.21752580010797828,0.18735420005396008,0.2976641000714153,0.8904557999921963,0.2652682000771165,0.10185550001915544,0.3607743999455124,0.3140347000444308,0.16730120009742677,0.23204570007510483,0.266542199999094,0.31351480004377663,0.28010729991365224,0.28087280003819615,0.3507709000259638,0.3132764999754727,0.27924029994755983,0.2798311999067664,0.34604870004113764,0.4236753999721259,0.29757759999483824,0.18499550002161413,0.28629829990677536,0.2454374999506399,0.24991619994398206,0.2340741999214515,0.1529073000419885,0.35962250002194196,0.6162927000550553,0.4074820999521762,0.4093178999610245,0.16913659998681396,0.18561349995434284,0.13787350000347942,0.23076880001462996,0.3277278000023216,0.5693588999565691,0.3108455999754369,0.1462226000148803,0.12269929994363338,0.20031240000389516
Essai3,0.21652810007799417,0.48699839995242655,0.2018709999974817,0.3410541000775993,0.3923014000756666,0.31377829995471984,0.2103594000218436,0.24417339998763055,0.2502927999012172,0.138578400015831,0.21387730003334582,0.19372690003365278,0.19962910003960133,0.2814982000272721,0.24968900007661432,0.15409500000532717,0.23353420000057667,0.15325749991461635,0.5216059000231326,0.5297066000057384,0.40399639995303005,0.21629060001578182,0.22857210005167872,0.20136840001214296,0.18618079996667802,0.2643870000028983,0.13776299997698516,0.45721800008323044,0.2159023000858724,0.15018360002432019,0.17014659999404103,0.16839499992784113,0.13373480003792793,0.25013549998402596,0.21015729999635369,0.5683547999942675,0.2941558000165969,0.19938000000547618,0.1853584999917075,1.2077497000573203,0.10367470001801848,0.2898463999154046,0.19670020008925349,0.3783878000685945,0.4417245000367984,0.48570089996792376,0.23008969996590167,0.21763700002338737,0.16964800003916025,0.18581939989235252,0.1852462999522686,0.15417480003088713,0.23149049992207438,0.40927930001635104,0.32934530009515584,0.24993090005591512,0.12963440001476556,0.32735160004813224,0.37670799996703863,0.66181580000557,0.12126629997510463,0.3286830000579357,0.0570076999720186,0.16789389995392412
Essai4,0.473346900078468,0.26608590001706034,0.37459370004944503,0.3725380999967456,0.4955369000090286,0.2818629000103101,0.14877259999047965,0.27273850003257394,0.19477110006846488,0.13741339999251068,0.3626508000306785,0.28508169995620847,0.295761700021103,0.26485749997664243,0.18031840003095567,0.22937960003037006,0.18279280001297593,0.3306665000272915,0.2980075000086799,0.3594152999576181,0.29523309995420277,0.20188109995797276,0.16598110005725175,0.27706180000677705,0.12883329996839166,0.3364154000300914,0.3232220000354573,0.6638288999674842,0.2654825000790879,0.16293590003624558,0.08836170006543398,0.18124820000957698,0.1216333000920713,0.2654985999688506,0.17340249998960644,0.21800079999957234,0.28029269992839545,0.488090300001204,0.20136449998244643,0.12179100001230836,0.2235761999618262,0.14599740004632622,0.3065366999944672,0.8569119999883696,0.45381669991184026,0.20847879990469664,0.18129219999536872,0.15293380001094192,0.1804691000143066,0.1353679000167176,1.0167261000024155,0.29321270005311817,0.40927439997904,0.08892390003893524,0.1694653999293223,0.2178604999789968,0.16738170001190156,0.2344930999679491,0.24675869999919087,0.5051482999697328,0.25504319998435676,0.26466549991164356,0.2167432999704033,0.2819234000053257
Essai5,0.21475959999952465,0.23248360003344715,0.775963900028728,0.21689869998954237,0.4246779999230057,0.10344779992010444,0.2177576000103727,0.24813229998108,0.23215189995244145,0.2650854999665171,0.24723169999197125,0.32990459993015975,0.2810386000201106,0.2500271999742836,0.21740219998173416,0.18515509995631874,0.10373029997572303,0.16865749994758517,0.599658100050874,0.5855077999876812,0.37164100003428757,0.20071359991561621,0.2945813999976963,0.31267739995382726,0.16948190005496144,0.24991319992113858,0.8885152000002563,0.34350700001232326,0.2615589000051841,0.2291123999748379,0.18974320008419454,0.37388740002643317,0.18414649995975196,0.16479030007030815,0.48463630001060665,0.37404060002882034,1.0650150999426842,0.18334150000009686,0.20162209996487945,0.15966599993407726,0.20944879995658994,0.27665120002347976,0.3298920999513939,0.21715109993238002,0.40833060001023114,0.1685725999996066,0.27995869994629174,0.15429219999350607,0.1383586999727413,0.22948979993816465,0.2922486000461504,0.6170635999878868,0.36975290009286255,0.16939980001188815,0.3682351999450475,0.2324440999655053,0.19601630000397563,0.42379280005116016,0.3310684999451041,0.4674916999647394,0.6013901999685913,0.2648130999878049,0.21270919998642057,0.18483069993089885
Essai6,0.16538639995269477,0.12108039995655417,0.20129440003074706,0.4676978000206873,0.22996300004888326,0.326577499974519,0.2635176000185311,0.13658310007303953,0.28971549996640533,0.24438179994467646,0.24669160007033497,0.3690834000008181,0.3611462999833748,0.2795960999792442,0.20196019997820258,0.13771230005659163,0.2808048001024872,0.42576439992990345,0.2943127000471577,0.4655345999635756,0.16814159997738898,0.21723259997088462,0.16804070002399385,0.1646328999195248,0.16864240006543696,0.13621949998196214,0.23300989996641874,1.1462782999733463,0.25834659999236465,0.34344339999370277,0.18083710002247244,0.21559869998600334,0.1054596999892965,0.13449819991365075,0.19855970004573464,0.4571104000788182,0.9694081000052392,0.3290586000075564,0.1356919000390917,0.16789429995696992,0.21783599990885705,0.26419240003451705,0.32635190000291914,0.3767205999465659,0.3774236999452114,0.37326999998185784,0.24472910002805293,0.215714699937962,0.1613086999859661,0.1683813000563532,0.19141929992474616,1.114047999959439,0.5204980999697,0.2958096000365913,0.15210040006786585,0.16386620001867414,0.22216510004363954,0.2950989999808371,0.22452859999611974,1.177206499967724,0.17651819996535778,0.13739479996729642,0.16952180000953376,0.3569946000352502
Essai7,0.18527070002164692,0.18543670000508428,0.216603200067766,0.7605376999126747,0.23345100006554276,0.35421109991148114,0.21576789999380708,0.26266949996352196,0.13654639991000295,0.217551099951379,0.4728904999792576,0.5063614000100642,0.371716900030151,0.23328409995883703,0.20296479994431138,0.1685528999660164,0.166531499940902,0.4876438999781385,0.7621607999317348,1.049715799978003,0.26509600004646927,0.24850480002351105,0.10465420002583414,0.21496850007679313,0.12121220002882183,0.13797450007405132,0.391785699990578,0.15295589994639158,0.23422970005776733,0.2652910000178963,0.1542713000671938,0.16857550002168864,0.2005442000227049,0.16928839997854084,0.1994999999878928,0.20122169994283468,0.2577348999911919,1.3678373999428004,0.1680231000063941,0.23322679998818785,0.1333536000456661,0.20060829992871732,0.17033590003848076,0.5867049000225961,0.2168564999010414,0.26590460003353655,0.08720139996148646,0.2791483999462798,0.1958961000200361,0.12005909997969866,0.3054188000969589,0.3764019999653101,0.3451002000365406,0.4250898000318557,0.3293781999964267,0.30352219997439533,0.16441030008718371,0.37625860003754497,0.23374960001092404,0.26403039996512234,0.4878591999877244,0.39214340003672987,0.15337609988637269,0.21554340003058314
Essai8,0.6503033000044525,0.32940049993339926,0.23268899996764958,0.8560374999651685,0.3592839000048116,0.47425520000979304,0.16696310008410364,0.11968899995554239,0.19848959997761995,0.45786429999861866,0.7120452999370173,0.14925960008986294,0.6009153999621049,0.5680746999569237,0.19993769994471222,0.26456150005105883,0.20010160002857447,0.2010024000192061,1.595714500057511,1.1607625000178814,0.10470919997896999,0.26165979995857924,0.15245579998008907,0.16886940004769713,0.2316783000715077,0.23197809990961105,0.9027622999856248,0.4544940000632778,0.1544496000278741,0.2812056998955086,0.13560729997698218,0.08849360002204776,0.35969589999876916,0.1999406999675557,0.10348370007704943,0.2258827000623569,0.15342280000913888,0.2634575000265613,0.10653160000219941,0.23352849995717406,0.18388539995066822,0.13352000003214926,0.20113829988986254,1.1739402000093833,0.2924269000068307,0.30990690004546195,0.3131592998979613,0.1501220999052748,0.1501291999593377,0.20065369992516935,0.39399399992544204,0.9539218000136316,0.5048749999841675,0.2322979000164196,0.2347418999997899,0.10555059998296201,0.2643131000222638,0.38938629999756813,0.4094073000596836,0.26445320004131645,0.21695809997618198,0.13786130002699792,0.11923840001691133,0.18621770001482219
Essai9,0.12184559996239841,0.1371740000322461,0.2656740000238642,0.5214157000882551,0.24898600007873029,0.23396300000604242,0.12105620000511408,0.16763539996463805,0.1521153999492526,0.15372750000096858,0.16931640007533133,0.7930358999874443,0.16988219995982945,0.18354939995333552,0.20119669998530298,0.15283949999138713,0.2646657000295818,0.18397469993215054,0.4083183000329882,0.13715989992488176,0.44055960001423955,0.26492749992758036,0.2336298000300303,0.20041079993825406,0.19861210009548813,0.20131399994716048,0.7781027000164613,0.37754390004556626,0.21534930006600916,0.1339291000040248,0.10550980002153665,0.23254380002617836,0.32868730009067804,0.13604430004488677,0.11950139992404729,0.2981900000013411,0.6659881999948993,0.28049250005278736,0.18411350005771965,0.16818150004837662,0.24727520009037107,0.18361629999708384,0.23401190002914518,0.2960231000324711,0.24808020005002618,0.11989520001225173,0.3045169999822974,0.22367310000117868,0.16846979991532862,0.2185853999108076,0.2321413999889046,0.5355035000247881,0.24938379996456206,0.1043851999565959,0.1685705001000315,0.18735819996800274,0.13426089996937662,0.24874239997006953,0.27986270003020763,0.32971700001508,0.19951469998341054,0.2478247000835836,0.23309510003309697,0.14195730001665652
Essai10,0.16945200006011873,0.24763270001858473,0.18117440002970397,0.6976400000276044,0.3771607999224216,0.28150059992913157,0.07441379991360009,0.18353839998599142,0.32732299994677305,0.18553770007565618,0.3934612999437377,0.6500895000062883,0.23331150005105883,0.21698730008210987,0.16678299999330193,0.23356670001521707,0.19961060001514852,0.3134094999404624,0.6003892000298947,0.4060977000044659,0.18486989999655634,0.196482100058347,0.3120340999448672,0.21715189993847162,0.31384600000455976,0.23314570006914437,0.26054220006335527,1.768109600059688,0.2334057999541983,0.20048089988995343,0.23290760000236332,0.10573700000531971,0.20117869996465743,0.2961753999115899,0.11928900005295873,0.20093239995185286,0.2491240999661386,0.3615553999552503,0.39252650004345924,0.2170071000000462,0.3281834999797866,0.17003040004055947,0.39273779990617186,0.6639417000114918,0.26145850005559623,0.11979190004058182,0.10511949995998293,0.248870600014925,0.10479409992694855,0.1213371999328956,0.3445736999856308,0.32790230005048215,0.19951149995904416,0.12096079997718334,0.15474309993442148,0.15248100005555898,0.18538789998274297,0.2322103000478819,0.3131432000081986,0.5048304999945685,0.4534401000710204,0.21560420002788305,0.2976816000882536,0.18488880002405494
