Essai,GD2,GD5,GD8,GG2,GG5,GG8,GH2,GH5,GH8,GB2,GB5,GB8,NGD2,NGD5,NGD8,NGG2,NGG5,NGG8,NGH2,NGH5,NGH8,NGB2,NGB5,NGB8
Essai0,0.5833333333333334              ,0.5666666666666667              ,0.5833333333333334              ,0.6333333333333333              ,0.6                             ,0.7166666666666667              ,0.7833333333333333              ,0.6166666666666667              ,0.5666666666666667              ,0.5833333333333334              ,0.6                             ,0.6333333333333333              ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai1,0.6                             ,0.6666666666666666              ,0.6166666666666667              ,0.65                            ,0.6                             ,0.6833333333333333              ,0.6                             ,0.6333333333333333              ,0.6                             ,0.65                            ,0.6666666666666666              ,0.6                             ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai2,0.5833333333333334              ,0.6833333333333333              ,0.5833333333333334              ,0.65                            ,0.6333333333333333              ,0.6                             ,0.6333333333333333              ,0.7666666666666667              ,0.65                            ,0.6                             ,0.6333333333333333              ,0.6166666666666667              ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai3,0.6166666666666667              ,0.6833333333333333              ,0.7                             ,0.5666666666666667              ,0.6                             ,0.6                             ,0.6166666666666667              ,0.7833333333333333              ,0.6166666666666667              ,0.6                             ,0.6                             ,0.6166666666666667              ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai4,0.6666666666666666              ,0.6833333333333333              ,0.6333333333333333              ,0.6833333333333333              ,0.6333333333333333              ,0.6666666666666666              ,0.6                             ,0.6333333333333333              ,0.6                             ,0.6166666666666667              ,0.6166666666666667              ,0.6                             ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai5,0.7                             ,0.65                            ,0.6166666666666667              ,0.7                             ,0.6166666666666667              ,0.6666666666666666              ,0.6333333333333333              ,0.6666666666666666              ,0.6166666666666667              ,0.5833333333333334              ,0.6833333333333333              ,0.7333333333333333              ,[],[],[],[],[],[],[],[],[],[],[],[]
Essai6,0.65                            ,0.6833333333333333              ,0.65                            ,0.6833333333333333              ,0.6833333333333333              ,0.6833333333333333              ,0.6166666666666667              ,0.7666666666666667              ,0.6166666666666667              ,0.6833333333333333              ,0.65                            ,0.6666666666666666              ,[],[],[],[],[],[],[],[],[],[],[],[]
